id,timestamp,product_count
1,01.06.2023 23:36,36
,,
title,price,seller,url
"13.6"" Ноутбук Apple Apple MacBook Air 13.6’’ M2 Midnight (Полуночный черный) 8C CPU / 8C GPU / RAM 8 GB /  256GB SSD MLY33 , Apple M2 (3.5 ГГц), RAM 8 ГБ, SSD 256 ГБ, Apple M2, macOS, (А2681), Midnight, Английская клавиатура","4460,97",iSales,https://ozon.by/product/13-6-noutbuk-apple-apple-macbook-air-13-6-m2-midnight-polunochnyy-chernyy-8c-cpu-8c-gpu-ram-8-790835354/?asb=HTlar%252Fb8U2svkS1KONt3vSrzVQ94F4f0wgv90jzP%252FSA%253D&asb2=DmRe1x4ybg7DjBZC436tNMS72om--08M6jmNOESGjaR4rncFDvcWksZoFYp-atGF&avtc=1&avte=2&avts=1685651807
"16.2"" Ноутбук Apple MacBook Pro 16 M2 Pro 12/19C 16/512GB Silver, RAM 16 ГБ, macOS, (194253297970,194253298403,2003006683435,194253236320), Серебристый","11043,50",Эльдорадо,https://ozon.by/product/16-2-noutbuk-apple-macbook-pro-16-m2-pro-12-19c-16-512gb-silver-ram-16-gb-macos-194253297970-945465114/?asb=sf%252FU0ljeGKHOrafswaxo%252FcGt0Lvh2mzpDsVu4Kv5FoQ%253D&asb2=No_p6qH37mbN8wPCBy7NnP3wO7XG8TidHiz1P1r5XzrBI99EqVQ7ELFTUSIbSnAO&avtc=1&avte=2&avts=1685651807
"13.3"" Ноутбук Apple Apple MacBook Air 13’’ M1 Silver (Серебристый) 8C CPU / 7C GPU / RAM 8 GB /  256GB SSD MGN93 A2337, Apple M1 (3.2 ГГц), RAM 8 ГБ, SSD 256 ГБ, Apple M1, macOS, (А2337), Silver, Английская клавиатура","3343,41",iSales,https://ozon.by/product/13-3-noutbuk-apple-apple-macbook-air-13-m1-silver-serebristyy-8c-cpu-7c-gpu-ram-8-gb-256gb-ssd-790731584/?asb=gaVOHmriY3Ynw%252FyyQ8clAGHu3t5FcgaMDd%252FPqszKHuk%253D&asb2=4JzoCmp__1n8lNDVQ8yRE14DLjkOfrbsflvKMhNyWkQ_RjZjq0G7mv8pdqeD8bZz&avtc=1&avte=2&avts=1685651807
"16,2"" Ноутбук Apple Macbook pro, Apple M2 Pro (12C CPU, 19С GPU), RAM 16 ГБ, SSD 512 ГБ, Apple M2 Pro, macOS, серый космос, Английская клавиатура","8883,54",iStore93,https://ozon.by/product/16-2-noutbuk-apple-macbook-pro-apple-m2-pro-12c-cpu-19s-gpu-ram-16-gb-ssd-512-gb-apple-m2-pro-macos-971234509/?asb=6s4GLJ1zdUZNiDY4eYildepKiM6cUqjAsV%252FxX4Kurek%253D&asb2=DCFKIuuV7Z7bxCs9eWweaPo9BB_U0RkbaxrYHMU9P_LSbOxAC5XET_kynvQb881k&avtc=1&avte=2&avts=1685651807
"13.6"" Ноутбук Apple Macbook Air 13 2022, Apple M2 (3.5 ГГц), RAM 8 ГБ, SSD, Apple M2, macOS, (7), Midnight, Российская клавиатура","4548,55",ХВОФ,https://ozon.by/product/13-6-noutbuk-apple-macbook-air-13-2022-apple-m2-3-5-ggts-ram-8-gb-ssd-apple-m2-macos-7-midnight-856157523/?asb=K5XcDB6TAjhCiudE6Of2ILdDDBSACj4CIRHOP4n12SE%253D&asb2=TnsdStcGfPVH2ZClfVf5ozbzugSLoQxgnl6QFaumsxzclQKCE3p5mp8AZktsvaUn&avtc=1&avte=2&avts=1685651807
"13.3"" Ноутбук Apple MacBook Air, Apple M1 (3.2 ГГц), RAM 8 ГБ, SSD 256 ГБ, Apple M1, macOS, (MGN63RU/A), Space Gray. Уцененный товар, Российская клавиатура","3735,06",ОМК,https://ozon.by/product/13-3-noutbuk-apple-macbook-air-apple-m1-3-2-ggts-ram-8-gb-ssd-256-gb-apple-m1-macos-mgn63ru-a-927775151/?asb=l43Jjjf8UL0Sgnv35m3qwNOVVBhC1VAGFF8e1fclpWY%253D&asb2=0Q0SArkX1uXF2f1XqYW_tqH4fASLs6j5RmjbqOuYBnRfxTVQaEDEp4G8E_6vHZCU&avtc=1&avte=2&avts=1685651807
"13.3"" Ноутбук Apple macbook pro, Apple M2 (8C CPU, 10C GPU), RAM 8 ГБ, SSD 512 ГБ, macOS, серебристый, Английская клавиатура","4866,47",iStore93,https://ozon.by/product/13-3-noutbuk-apple-macbook-pro-apple-m2-8c-cpu-10c-gpu-ram-8-gb-ssd-512-gb-macos-serebristyy-924174809/?asb=HKNoIf8ZJojErmV6xecwrm56fGwfbOgKHNn%252FUX1z4rA%253D&asb2=jXOnEe52hXeg0h9HV7VItUZwlMoiXJ55BWzIZrEzka601Qvwg3bOjdYjRYh3ibSr&avtc=1&avte=2&avts=1685651807
"Ноутбук Apple Air 13 Late 2020, RAM 8 ГБ","3576,60",ЭЛЕКТРОНИКА,https://ozon.by/product/noutbuk-apple-air-13-late-2020-ram-8-gb-1000964063/?asb=pn3PQPirq8El4fYDDY0LCP0d%252F%252FwnnCylZCTthzSJd8k%253D&asb2=gybhROFx0Ebxm6LC0PRl8iCAgtSAt_PUx_0YnS9siVZ0p5zqOAJ3pB8ChXUnf30x&avtc=1&avte=2&avts=1685651807
"13,6"" Ноутбук Apple MacBook Air 13.6 M2/8 core/16Gb/SSD256Gb/8 core GPU/Mac OS/midnight (A2681), Apple M2 (8C CPU, 8C GPU), RAM 16 ГБ, macOS, Серебристый, Английская клавиатура","6640,50",Империя техно,https://ozon.by/product/13-6-noutbuk-apple-macbook-air-13-6-m2-8-core-16gb-ssd256gb-8-core-gpu-mac-os-midnight-a2681-apple-998599765/?asb=6PrfXHp4mLRBezc10I2cHVDc6LkBa%252B91RBVNwLqFNAs%253D&asb2=n_2OcSEyqbSSmdsb01MeHtj1ppW0XxAPU--hPptKUriMJnJdT4a2uyQq-ipZfID3&avtc=1&avte=2&avts=1685651807
"13.3"" Ноутбук Apple MacBook Air 13, Apple M1 (8C CPU, 7C GPU), RAM 8 ГБ, SSD, Apple M1, macOS, (MGND3), Gold, Российская клавиатура","4051,73",Электроника для Вас,https://ozon.by/product/noutbuk-apple-mgnd3-774445538/?asb=GmuTQirlbklvAUmc7gYEOQR%252FL1eeqPVI6tsu5Y5CTRI%253D&asb2=JSNFsMda-IVWZuykGNU2HIugpYdbOP8oXccGHL4fAnWL0ysu7OElkAWoSrbHAWK7&avtc=1&avte=2&avts=1685651807
"Ноутбук Apple MacBook Pro 2022, RAM 8 ГБ, SSD 256 ГБ, Apple M2, macOS, Серебристый","4821,06",TECHNO-WORLD,https://ozon.by/product/noutbuk-apple-macbook-pro-2022-ram-8-gb-ssd-256-gb-apple-m2-macos-serebristyy-640651684/?asb=aZDEYrdtUAIXBHsYuaVtl6eru0yXoDAiN3k57fImeks%253D&asb2=U9_M8gzeM6Dze77h4yXYsXntkt2Q8PdOZk3yCiSZZ-kZQUREKnbDzP2GkeEnctw9&avtc=1&avte=2&avts=1685651807
"14"" Ноутбук Apple MacBook Pro 14"" Apple M1 Pro Space Gray / 8C CPU / 14C GPU / RAM 16GB / SSD 512GB, Apple M1 Pro, RAM 16 ГБ, SSD 512 ГБ, Apple M1, macOS, (А2442), Серый Космос, Российская клавиатура","6372,29",iSales,https://ozon.by/product/14-noutbuk-apple-macbook-pro-14-apple-m1-pro-space-gray-8c-cpu-14c-gpu-ram-16gb-ssd-512gb-apple-996977191/?asb=GYnTRiVlmdWvhmJMDVQf4AgeI2cX1tXfY55IWzp%252FpbU%253D&asb2=mwsOnZrr5oPRMR3rozDT0j38e5qtdEy_Pfgc67a9lI1vuqQ_sDIvq0EERkkJm_Jk&avtc=1&avte=2&avts=1685651807
